key,en,ru,de,es,fr,pt,ko,ja
appTitle,Garage,Гараж,Garage,Garaje,Garage,Garagem,차고,ガレージ
settings,Settings,Настройки,Einstellungen,Ajustes,Paramètres,Configurações,설정,設定
language,Language,Язык,Sprache,Idioma,Langue,Idioma,언어,言語
distanceUnit,Distance unit,Единица расстояния,Entfernungseinheit,Unidad de distancia,Unité de distance,Unidade de distância,거리 단위,距離単位
theme,Theme,Тема,Design,Tema,Thème,Tema,테마,テーマ
currency,Currency,Валюта,Währung,Moneda,Devise,Moeda,통화,通貨
en,English,Английский,Englisch,Inglés,Anglais,Inglês,영어,英語
ru,Russian,Русский,Russisch,Ruso,Russe,Russo,러시아어,ロシア語
de,German,Немецкий,Deutsch,Alemán,Allemand,Alemão,독일어,ドイツ어
es,Spanish,Испанский,Spanisch,Español,Espagnol,Espanhol,스페인어,スペイン語
fr,French,Французский,Französisch,Francés,Français,Francês,프랑스어,フランス語
pt,Portuguese,Португальский,Portugiesisch,Portugués,Portugais,Português,포르투갈어,ポルトガル語
ko,Korean,Корейский,Koreanisch,Coreano,Coréen,Coreano,한국어,韓国語
ja,Japanese,Японский,Japanisch,Japonés,Japonais,Japonês,일본어,日本語
km,Kilometers,Километры,Kilometer,Kilómetros,Kilomètres,Quilômetros,킬로미터,キロメートル
mi,Miles,Мили,Meilen,Millas,Miles,Milhas,마일,マイル
system,System,Системная,System,Sistema,Système,Sistema,시스템,システム
light,Light,Светлая,Hell,Claro,Clair,Claro,밝음,ライト
dark,Dark,Тёмная,Dunkel,Oscuro,Sombre,Escuro,어두움,ダーク
usd,USD,USD,USD,USD,USD,USD,USD,USD
rub,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
eur,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
addCar,Add car,Добавить авто,Auto hinzufügen,Añadir coche,Ajouter une voiture,Adicionar carro,차 추가,車を追加
editCar,Edit car,Изменить авто,Auto bearbeiten,Editar coche,Modifier la voiture,Editar carro,차 수정,車を編集
saveChanges,Save changes,Сохранить изменения,Änderungen speichern,Guardar cambios,Enregistrer les modifications,Salvar alterações,변경 사항 저장,変更を保存
deleteCar,Delete car,Удалить авто,Auto löschen,Eliminar coche,Supprimer la voiture,Excluir carro,차 삭제,車を削除
delete,Delete,Удалить,Löschen,Eliminar,Supprimer,Excluir,삭제,削除
areYouSure,Are you sure?,Вы уверены?,Sind Sie sicher?,¿Está seguro?,Êtes-vous sûr ?,Tem certeza?,정말로?,本当ですか？
make,Make,Марка,Marca,Marca,Marque,Marca,제조사,メーカー
model,Model,Модель,Modell,Modelo,Modèle,Modelo,모델,モデル
year,Year,Год,Jahr,Año,Année,Ano,연식,年式
plate,Plate,Номер,Kennzeichen,Matrícula,Plaque,Placa,번호판,ナンバープレート
price,Price,Цена,Preis,Precio,Prix,Preço,가격,価格
mileage,Mileage,Пробег,Kilometerstand,Kilometraje,Kilométrage,Quilometragem,주행 거리,走行距리
save,Save,Сохранить,Speichern,Guardar,Enregistrer,Salvar,저장,保存
cancel,Cancel,Отмена,Abbrechen,Cancelar,Annuler,Cancelar,취소,キャンセル
